departure,arrival,departure_date,departure_time,arrival_date,arrival_time,bus_capacity,bus_number,ticket_price
Aberdeen,London,2023-04-05,11:00,2023-04-05,21:15,40,AB124,90.00
Aberdeen,Glasgow,2023-04-05,06:00,2023-04-05,08:15,40,GA128,35.50
Aberdeen,Glasgow,2023-04-05,10:00,2023-04-05,12:15,40,GA129,35.50
Aberdeen,Edinburgh,2023-04-05,12:30,2023-04-05,14:45,40,EA130,40.00
Aberdeen,Edinburgh,2023-04-05,16:00,2023-04-05,18:15,40,EA131,40.00
Aberdeen,Inverness,2023-04-05,09:30,2023-04-05,11:45,40,IA132,25.00
Aberdeen,Inverness,2023-04-05,15:00,2023-04-05,17:15,40,IA133,25.00
Aberdeen,Dundee,2023-04-05,08:30,2023-04-05,10:45,40,DA134,30.00
Aberdeen,Dundee,2023-04-05,13:30,2023-04-05,15:45,40,DA135,30.00
London,Aberdeen,2023-04-05,07:30,2023-04-06,17:45,40,BA123,90.00
London,Aberdeen,2023-04-05,11:00,2023-04-06,21:15,40,BA124,90.00
Glasgow,Aberdeen,2023-04-05,06:00,2023-04-06,08:15,40,AG128,35.50
Glasgow,Aberdeen,2023-04-05,10:00,2023-04-06,12:15,40,AG129,35.50
Edinburgh,Aberdeen,2023-04-05,12:30,2023-04-06,14:45,40,AE130,40.00
Edinburgh,Aberdeen,2023-04-05,16:00,2023-04-06,18:15,40,AE131,40.00
Inverness,Aberdeen,2023-04-05,09:30,2023-04-06,11:45,40,AI132,25.00
Inverness,Aberdeen,2023-04-05,15:00,2023-04-06,17:15,40,AI133,25.00
Dundee,Aberdeen,2023-04-05,08:30,2023-04-06,10:45,40,AD134,30.00
Aberdeen,London,2023-04-06,07:30,2023-04-06,17:45,40,AB123,90.00
Aberdeen,London,2023-04-06,11:00,2023-04-06,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-04-06,06:00,2023-04-06,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-06,10:00,2023-04-06,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-06,12:30,2023-04-06,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-04-06,16:00,2023-04-06,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-06,09:30,2023-04-06,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-06,15:00,2023-04-06,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-06,08:00,2023-04-06,09:45,40,DA134,15.00
Dundee,Aberdeen,2023-04-06,12:00,2023-04-06,13:45,40,DA135,15.00
Aberdeen,London,2023-04-07,07:30,2023-04-07,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-07,06:00,2023-04-07,08:15,40,AG128,35.50
Aberdeen,Glasgow,2023-04-07,10:00,2023-04-07,12:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-04-07,12:30,2023-04-07,14:45,40,AE130,40.00
Aberdeen,Edinburgh,2023-04-07,16:00,2023-04-07,18:15,40,AE131,40.00
Aberdeen,Inverness,2023-04-07,09:30,2023-04-07,11:45,40,AI132,25.00
Aberdeen,Inverness,2023-04-07,15:00,2023-04-07,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-04-07,07:00,2023-04-07,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-04-07,14:00,2023-04-07,16:15,40,AD135,30.00
London,Aberdeen,2023-04-07,07:30,2023-04-07,17:45,40,LA123,90.00
London,Aberdeen,2023-04-07,11:00,2023-04-07,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-04-07,06:00,2023-04-07,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-07,10:00,2023-04-07,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-07,12:30,2023-04-07,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-04-07,16:00,2023-04-07,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-07,09:30,2023-04-07,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-07,15:00,2023-04-07,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-07,07:00,2023-04-07,09:15,40,DA134,30.00
Aberdeen,London,2023-04-08,07:30,2023-04-08,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-08,11:00,2023-04-08,13:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-04-08,12:30,2023-04-08,14:45,40,AE130,40.00
Aberdeen,Inverness,2023-04-08,15:00,2023-04-08,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-04-08,07:00,2023-04-08,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-04-08,14:00,2023-04-08,16:15,40,AD135,30.00
London,Aberdeen,2023-04-08,07:30,2023-04-08,17:45,40,LA123,90.00
London,Aberdeen,2023-04-08,11:00,2023-04-08,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-04-08,06:00,2023-04-08,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-08,10:00,2023-04-08,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-08,12:30,2023-04-08,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-04-08,16:00,2023-04-08,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-08,09:30,2023-04-08,11:45,40,IA132,25.00
Dundee,Aberdeen,2023-04-08,07:00,2023-04-08,09:15,40,DA134,30.00
Aberdeen,Glasgow,2023-04-09,06:00,2023-04-09,08:15,40,AB128,35.50
Aberdeen,Glasgow,2023-04-09,10:00,2023-04-09,12:15,40,AB129,35.50
Aberdeen,Edinburgh,2023-04-09,12:30,2023-04-09,14:45,40,AB130,40.00
Aberdeen,Edinburgh,2023-04-09,16:00,2023-04-09,18:15,40,AB131,40.00
Aberdeen,Inverness,2023-04-09,09:30,2023-04-09,11:45,40,AB132,25.00
Aberdeen,Inverness,2023-04-09,15:00,2023-04-09,17:15,40,AB133,25.00
Aberdeen,Dundee,2023-04-09,07:45,2023-04-09,10:00,35,AB134,30.00
Aberdeen,London,2023-04-09,09:00,2023-04-09,20:30,50,AB135,70.00
Glasgow,Aberdeen,2023-04-09,13:00,2023-04-09,15:15,40,AB136,35.50
Glasgow,Aberdeen,2023-04-09,17:30,2023-04-09,19:45,40,AB137,35.50
Edinburgh,Aberdeen,2023-04-09,08:45,2023-04-09,11:00,40,AB138,40.00
Edinburgh,Aberdeen,2023-04-09,13:30,2023-04-09,15:45,40,AB139,40.00
Inverness,Aberdeen,2023-04-09,12:00,2023-04-09,14:15,40,AB140,25.00
Inverness,Aberdeen,2023-04-09,17:30,2023-04-09,19:45,40,AB141,25.00
Dundee,Aberdeen,2023-04-09,12:30,2023-04-09,14:45,35,AB142,30.00
London,Aberdeen,2023-04-09,12:30,2023-04-10,00:00,50,AB143,70.00
Aberdeen,London,2023-04-10,07:30,2023-04-10,17:45,40,AB123,90.00
Aberdeen,London,2023-04-10,11:00,2023-04-10,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-04-10,06:00,2023-04-10,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-10,10:00,2023-04-10,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-10,12:30,2023-04-10,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-04-10,16:00,2023-04-10,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-10,09:30,2023-04-10,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-10,15:00,2023-04-10,17:15,40,IA133,25.00
Aberdeen,Glasgow,2023-04-10,6:30,2023-04-10,8:45,40,GA128,35.50
Aberdeen,Glasgow,2023-04-10,20:00,2023-04-10,22:15,40,GA129,35.50
Aberdeen,Inverness,2023-04-10,19:30,2023-04-10,21:45,40,IA132,25.00
Aberdeen,Inverness,2023-04-10,13:00,2023-04-10,13:55,40,IA133,25.00
Aberdeen,London,2023-04-11,07:30,2023-04-11,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-11,06:00,2023-04-11,08:15,40,GA128,35.50
Aberdeen,Edinburgh,2023-04-11,12:30,2023-04-11,14:45,40,EA130,40.00
Aberdeen,Inverness,2023-04-11,09:30,2023-04-11,11:45,40,IA132,25.00
Aberdeen,Dundee,2023-04-11,14:00,2023-04-11,16:15,40,DA134,30.00
London,Aberdeen,2023-04-11,08:00,2023-04-11,18:15,40,LA125,90.00
Glasgow,Aberdeen,2023-04-11,10:00,2023-04-11,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-11,16:00,2023-04-11,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-11,15:00,2023-04-11,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-11,18:30,2023-04-11,20:45,40,DA135,30.00
Aberdeen,London,2023-04-12,07:30,2023-04-12,17:45,40,AB123,90.00
Aberdeen,London,2023-04-12,11:00,2023-04-12,21:15,40,AB124,90.00
Aberdeen,Glasgow,2023-04-12,06:00,2023-04-12,08:15,40,GA128,35.50
Aberdeen,Glasgow,2023-04-12,10:00,2023-04-12,12:15,40,GA129,35.50
Aberdeen,Edinburgh,2023-04-12,12:30,2023-04-12,14:45,40,EA130,40.00
Aberdeen,Edinburgh,2023-04-12,16:00,2023-04-12,18:15,40,EA131,40.00
Aberdeen,Inverness,2023-04-12,09:30,2023-04-12,11:45,40,IA132,25.00
Aberdeen,Inverness,2023-04-12,15:00,2023-04-12,17:15,40,IA133,25.00
Aberdeen,Dundee,2023-04-12,08:30,2023-04-12,10:45,40,DA134,30.00
Aberdeen,Dundee,2023-04-12,13:30,2023-04-12,15:45,40,DA135,30.00
London,Aberdeen,2023-04-12,07:30,2023-04-13,17:45,40,BA123,90.00
London,Aberdeen,2023-04-12,11:00,2023-04-13,21:15,40,BA124,90.00
Glasgow,Aberdeen,2023-04-12,06:00,2023-04-13,08:15,40,AG128,35.50
Glasgow,Aberdeen,2023-04-12,10:00,2023-04-13,12:15,40,AG129,35.50
Edinburgh,Aberdeen,2023-04-12,12:30,2023-04-13,14:45,40,AE130,40.00
Edinburgh,Aberdeen,2023-04-12,16:00,2023-04-13,18:15,40,AE131,40.00
Inverness,Aberdeen,2023-04-12,09:30,2023-04-13,11:45,40,AI132,25.00
Inverness,Aberdeen,2023-04-12,15:00,2023-04-13,17:15,40,AI133,25.00
Dundee,Aberdeen,2023-04-12,08:30,2023-04-13,10:45,40,AD134,30.00
Aberdeen,London,2023-04-13,07:30,2023-04-13,17:45,40,AB123,90.00
Aberdeen,London,2023-04-13,11:00,2023-04-13,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-04-13,06:00,2023-04-13,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-13,10:00,2023-04-13,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-13,12:30,2023-04-13,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-04-13,16:00,2023-04-13,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-13,09:30,2023-04-13,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-13,15:00,2023-04-13,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-13,08:00,2023-04-13,09:45,40,DA134,15.00
Dundee,Aberdeen,2023-04-13,12:00,2023-04-13,13:45,40,DA135,15.00
Aberdeen,London,2023-04-14,07:30,2023-04-14,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-14,06:00,2023-04-14,08:15,40,AG128,35.50
Aberdeen,Glasgow,2023-04-14,10:00,2023-04-14,12:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-04-14,12:30,2023-04-14,14:45,40,AE130,40.00
Aberdeen,Edinburgh,2023-04-14,16:00,2023-04-14,18:15,40,AE131,40.00
Aberdeen,Inverness,2023-04-14,09:30,2023-04-14,11:45,40,AI132,25.00
Aberdeen,Inverness,2023-04-14,15:00,2023-04-14,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-04-14,07:00,2023-04-14,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-04-14,14:00,2023-04-14,16:15,40,AD135,30.00
London,Aberdeen,2023-04-14,07:30,2023-04-14,17:45,40,LA123,90.00
London,Aberdeen,2023-04-14,11:00,2023-04-14,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-04-14,06:00,2023-04-14,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-14,10:00,2023-04-14,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-14,12:30,2023-04-14,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-04-14,16:00,2023-04-14,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-14,09:30,2023-04-14,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-14,15:00,2023-04-14,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-14,07:00,2023-04-14,09:15,40,DA134,30.00
Aberdeen,London,2023-04-15,07:30,2023-04-15,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-15,11:00,2023-04-15,13:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-04-15,12:30,2023-04-15,14:45,40,AE130,40.00
Aberdeen,Inverness,2023-04-15,15:00,2023-04-15,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-04-15,07:00,2023-04-15,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-04-15,14:00,2023-04-15,16:15,40,AD135,30.00
London,Aberdeen,2023-04-15,07:30,2023-04-15,17:45,40,LA123,90.00
London,Aberdeen,2023-04-15,11:00,2023-04-15,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-04-15,06:00,2023-04-15,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-15,10:00,2023-04-15,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-15,12:30,2023-04-15,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-04-15,16:00,2023-04-15,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-15,09:30,2023-04-15,11:45,40,IA132,25.00
Dundee,Aberdeen,2023-04-15,07:00,2023-04-15,09:15,40,DA134,30.00
Aberdeen,Glasgow,2023-04-16,06:00,2023-04-16,08:15,40,AB128,35.50
Aberdeen,Glasgow,2023-04-16,10:00,2023-04-16,12:15,40,AB129,35.50
Aberdeen,Edinburgh,2023-04-16,12:30,2023-04-16,14:45,40,AB130,40.00
Aberdeen,Edinburgh,2023-04-16,16:00,2023-04-16,18:15,40,AB131,40.00
Aberdeen,Inverness,2023-04-16,09:30,2023-04-16,11:45,40,AB132,25.00
Aberdeen,Inverness,2023-04-16,15:00,2023-04-16,17:15,40,AB133,25.00
Aberdeen,Dundee,2023-04-16,07:45,2023-04-16,10:00,35,AB134,30.00
Aberdeen,London,2023-04-16,09:00,2023-04-16,20:30,50,AB135,70.00
Glasgow,Aberdeen,2023-04-16,13:00,2023-04-16,15:15,40,AB136,35.50
Glasgow,Aberdeen,2023-04-16,17:30,2023-04-16,19:45,40,AB137,35.50
Edinburgh,Aberdeen,2023-04-16,08:45,2023-04-16,11:00,40,AB138,40.00
Edinburgh,Aberdeen,2023-04-16,13:30,2023-04-16,15:45,40,AB139,40.00
Inverness,Aberdeen,2023-04-16,12:00,2023-04-16,14:15,40,AB140,25.00
Inverness,Aberdeen,2023-04-16,17:30,2023-04-16,19:45,40,AB141,25.00
Dundee,Aberdeen,2023-04-16,12:30,2023-04-16,14:45,35,AB142,30.00
London,Aberdeen,2023-04-16,12:30,2023-04-17,00:00,50,AB143,70.00
Aberdeen,London,2023-04-17,07:30,2023-04-17,17:45,40,AB123,90.00
Aberdeen,London,2023-04-17,11:00,2023-04-17,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-04-17,06:00,2023-04-17,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-17,10:00,2023-04-17,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-17,12:30,2023-04-17,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-04-17,16:00,2023-04-17,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-17,09:30,2023-04-17,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-17,15:00,2023-04-17,17:15,40,IA133,25.00
Aberdeen,Glasgow,2023-04-17,6:30,2023-04-17,8:45,40,GA128,35.50
Aberdeen,Glasgow,2023-04-17,20:00,2023-04-17,22:15,40,GA129,35.50
Aberdeen,Inverness,2023-04-17,19:30,2023-04-17,21:45,40,IA132,25.00
Aberdeen,Inverness,2023-04-17,13:00,2023-04-17,13:55,40,IA133,25.00
Aberdeen,London,2023-04-18,07:30,2023-04-18,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-18,06:00,2023-04-18,08:15,40,GA128,35.50
Aberdeen,Edinburgh,2023-04-18,12:30,2023-04-18,14:45,40,EA130,40.00
Aberdeen,Inverness,2023-04-18,09:30,2023-04-18,11:45,40,IA132,25.00
Aberdeen,Dundee,2023-04-18,14:00,2023-04-18,16:15,40,DA134,30.00
London,Aberdeen,2023-04-18,08:00,2023-04-18,18:15,40,LA125,90.00
Glasgow,Aberdeen,2023-04-18,10:00,2023-04-18,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-18,16:00,2023-04-18,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-18,15:00,2023-04-18,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-18,18:30,2023-04-18,20:45,40,DA135,30.00
Aberdeen,London,2023-04-19,07:30,2023-04-19,17:45,40,AB123,90.00
Aberdeen,London,2023-04-19,11:00,2023-04-19,21:15,40,AB124,90.00
Aberdeen,Glasgow,2023-04-19,06:00,2023-04-19,08:15,40,GA128,35.50
Aberdeen,Glasgow,2023-04-19,10:00,2023-04-19,12:15,40,GA129,35.50
Aberdeen,Edinburgh,2023-04-19,12:30,2023-04-19,14:45,40,EA130,40.00
Aberdeen,Edinburgh,2023-04-19,16:00,2023-04-19,18:15,40,EA131,40.00
Aberdeen,Inverness,2023-04-19,09:30,2023-04-19,11:45,40,IA132,25.00
Aberdeen,Inverness,2023-04-19,15:00,2023-04-19,17:15,40,IA133,25.00
Aberdeen,Dundee,2023-04-19,08:30,2023-04-19,10:45,40,DA134,30.00
Aberdeen,Dundee,2023-04-19,13:30,2023-04-19,15:45,40,DA135,30.00
London,Aberdeen,2023-04-19,07:30,2023-04-20,17:45,40,BA123,90.00
London,Aberdeen,2023-04-19,11:00,2023-04-20,21:15,40,BA124,90.00
Glasgow,Aberdeen,2023-04-19,06:00,2023-04-20,08:15,40,AG128,35.50
Glasgow,Aberdeen,2023-04-19,10:00,2023-04-20,12:15,40,AG129,35.50
Edinburgh,Aberdeen,2023-04-19,12:30,2023-04-20,14:45,40,AE130,40.00
Edinburgh,Aberdeen,2023-04-19,16:00,2023-04-20,18:15,40,AE131,40.00
Inverness,Aberdeen,2023-04-19,09:30,2023-04-20,11:45,40,AI132,25.00
Inverness,Aberdeen,2023-04-19,15:00,2023-04-20,17:15,40,AI133,25.00
Dundee,Aberdeen,2023-04-19,08:30,2023-04-20,10:45,40,AD134,30.00
Aberdeen,London,2023-04-20,07:30,2023-04-20,17:45,40,AB123,90.00
Aberdeen,London,2023-04-20,11:00,2023-04-20,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-04-20,06:00,2023-04-20,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-20,10:00,2023-04-20,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-20,12:30,2023-04-20,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-04-20,16:00,2023-04-20,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-20,09:30,2023-04-20,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-20,15:00,2023-04-20,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-20,08:00,2023-04-20,09:45,40,DA134,15.00
Dundee,Aberdeen,2023-04-20,12:00,2023-04-20,13:45,40,DA135,15.00
Aberdeen,London,2023-04-21,07:30,2023-04-21,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-21,06:00,2023-04-21,08:15,40,AG128,35.50
Aberdeen,Glasgow,2023-04-21,10:00,2023-04-21,12:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-04-21,12:30,2023-04-21,14:45,40,AE130,40.00
Aberdeen,Edinburgh,2023-04-21,16:00,2023-04-21,18:15,40,AE131,40.00
Aberdeen,Inverness,2023-04-21,09:30,2023-04-21,11:45,40,AI132,25.00
Aberdeen,Inverness,2023-04-21,15:00,2023-04-21,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-04-21,07:00,2023-04-21,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-04-21,14:00,2023-04-21,16:15,40,AD135,30.00
London,Aberdeen,2023-04-21,07:30,2023-04-21,17:45,40,LA123,90.00
London,Aberdeen,2023-04-21,11:00,2023-04-21,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-04-21,06:00,2023-04-21,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-21,10:00,2023-04-21,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-21,12:30,2023-04-21,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-04-21,16:00,2023-04-21,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-21,09:30,2023-04-21,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-21,15:00,2023-04-21,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-21,07:00,2023-04-21,09:15,40,DA134,30.00
Aberdeen,London,2023-04-22,07:30,2023-04-22,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-22,11:00,2023-04-22,13:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-04-22,12:30,2023-04-22,14:45,40,AE130,40.00
Aberdeen,Inverness,2023-04-22,15:00,2023-04-22,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-04-22,07:00,2023-04-22,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-04-22,14:00,2023-04-22,16:15,40,AD135,30.00
London,Aberdeen,2023-04-22,07:30,2023-04-22,17:45,40,LA123,90.00
London,Aberdeen,2023-04-22,11:00,2023-04-22,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-04-22,06:00,2023-04-22,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-22,10:00,2023-04-22,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-22,12:30,2023-04-22,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-04-22,16:00,2023-04-22,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-22,09:30,2023-04-22,11:45,40,IA132,25.00
Dundee,Aberdeen,2023-04-22,07:00,2023-04-22,09:15,40,DA134,30.00
Aberdeen,Glasgow,2023-04-23,06:00,2023-04-23,08:15,40,AB128,35.50
Aberdeen,Glasgow,2023-04-23,10:00,2023-04-23,12:15,40,AB129,35.50
Aberdeen,Edinburgh,2023-04-23,12:30,2023-04-23,14:45,40,AB130,40.00
Aberdeen,Edinburgh,2023-04-23,16:00,2023-04-23,18:15,40,AB131,40.00
Aberdeen,Inverness,2023-04-23,09:30,2023-04-23,11:45,40,AB132,25.00
Aberdeen,Inverness,2023-04-23,15:00,2023-04-23,17:15,40,AB133,25.00
Aberdeen,Dundee,2023-04-23,07:45,2023-04-23,10:00,35,AB134,30.00
Aberdeen,London,2023-04-23,09:00,2023-04-23,20:30,50,AB135,70.00
Glasgow,Aberdeen,2023-04-23,13:00,2023-04-23,15:15,40,AB136,35.50
Glasgow,Aberdeen,2023-04-23,17:30,2023-04-23,19:45,40,AB137,35.50
Edinburgh,Aberdeen,2023-04-23,08:45,2023-04-23,11:00,40,AB138,40.00
Edinburgh,Aberdeen,2023-04-23,13:30,2023-04-23,15:45,40,AB139,40.00
Inverness,Aberdeen,2023-04-23,12:00,2023-04-23,14:15,40,AB140,25.00
Inverness,Aberdeen,2023-04-23,17:30,2023-04-23,19:45,40,AB141,25.00
Dundee,Aberdeen,2023-04-23,12:30,2023-04-23,14:45,35,AB142,30.00
London,Aberdeen,2023-04-23,12:30,2023-04-24,00:00,50,AB143,70.00
Aberdeen,London,2023-04-24,07:30,2023-04-24,17:45,40,AB123,90.00
Aberdeen,London,2023-04-24,11:00,2023-04-24,21:15,40,AB124,90.00
